 INFO [main] 2021-02-25 10:32:23,588 (SagaShell.java:119): process argument 'dataset=C:\Users\86189\Desktop\clone\IssueTracker-Master\clone-service\src\main\java\cn\edu\fudan\cloneservice'
 INFO [main] 2021-02-25 10:32:23,619 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 10:32:23,619 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 10:32:23,620 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 10:32:23,621 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 10:32:23,622 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 10:32:23,628 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 10:32:23,630 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 10:32:23,630 (SagaShell.java:82): loading state...
 INFO [main] 2021-02-25 10:32:23,638 (Tokenizer.java:69): ==========================================
 INFO [main] 2021-02-25 10:32:23,639 (Tokenizer.java:70):                  tokenize                 
 INFO [main] 2021-02-25 10:32:23,639 (Tokenizer.java:71): ==========================================
 INFO [main] 2021-02-25 10:32:23,642 (Tokenizer.java:157): tokenIndexList: [-2147483647]
 INFO [main] 2021-02-25 10:32:23,643 (Tokenizer.java:159): total token num is: 0
 INFO [main] 2021-02-25 10:32:23,643 (Tokenizer.java:160): total measure num is: 0
 INFO [main] 2021-02-25 10:32:23,643 (Tokenizer.java:161): total line is: 0
 INFO [main] 2021-02-25 10:32:23,654 (SuffixArrayBuilder.java:23): ==========================================
 INFO [main] 2021-02-25 10:32:23,654 (SuffixArrayBuilder.java:24):                   build                   
 INFO [main] 2021-02-25 10:32:23,654 (SuffixArrayBuilder.java:25): ==========================================
 INFO [main] 2021-02-25 10:32:23,664 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 10:32:23,664 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 10:32:23,664 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 10:32:23,667 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 10:32:23,667 (SagaShell.java:189): total time cost: 0h 0m 0s
 INFO [main] 2021-02-25 10:34:01,900 (SagaShell.java:119): process argument 'dataset=C:\Users\86189\Desktop\clone\IssueTracker-Master\clone-service\src\main\java\cn\edu\fudan\cloneservice'
 INFO [main] 2021-02-25 10:34:01,923 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 10:34:01,924 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 10:34:01,924 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 10:34:01,926 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 10:34:01,926 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 10:34:01,929 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 10:34:01,932 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 10:34:01,932 (SagaShell.java:82): loading state...
